english,chinese
武汉,Wuhan
黄冈,Huanggang
孝感,Xiaogan
襄阳,Xiangyang
荆州,Jingzhou
随州,Suizhou
黄石,Yellowstone
宜昌,Yichang
荆门,Jingmen
咸宁,Xianning
鄂州,Ezhou
十堰,Shiyan
仙桃,Xiantao
恩施州,Enshi
天门,Tianmen
潜江,Qianjiang
神农架林区,Shennongjia
深圳,Shenzhen
广州,Canton
珠海,Zhuhai
佛山,Foshan
东莞,Dongguan
中山,Zhongshan
惠州,Huizhou
汕头,Shantou
湛江,Zhanjiang
肇庆,Zhaoqing
阳江,Yangjiang
清远,Qingyuan
梅州,Meizhou
江门,Jiangmen
揭阳,Jieyang
韶关,Shaoguan
茂名,Maoming
汕尾,Shanwei
潮州,Chaozhou
河源,Heyuan
温州,Wenzhou
杭州,Hangzhou
台州,Taizhou
宁波,Ningbo
金华,Jinhua
绍兴,Shaoxing
嘉兴,Jiaxing
丽水,Lishui
衢州,Quzhou
湖州,Huzhou
舟山,Zhoushan
信阳市,Xinyang City
南阳市,Nanyang City
郑州市,Zhengzhou City
驻马店市,Zhumadian City
商丘市,Shangqiu City
周口市,Zhoukou City
新乡市,Xinxiang
安阳市,Anyang City
平顶山市,Pingdingshan
许昌市,Xuchang City
漯河市,Luohe
开封市,Kaifeng
洛阳市,Luoyang City
焦作市,Jiaozuo City
鹤壁市,Hebi City
三门峡市,Sanmenxia City
濮阳市,Puyang City
济源示范区,Jiyuan demonstration area
长沙市,Changsha City
岳阳市,Yueyang City
邵阳市,Shaoyang City
常德市,Changde City
娄底市,Loudi
益阳市,Yiyang City
衡阳市,Hengyang City
株洲市,Zhuzhou City
怀化市,Huaihua City
永州市,Yongzhou
郴州市,Chenzhou City
湘潭市,Xiangtan City
湘西自治州,Xiangxi Autonomous Prefecture
张家界市,Zhangjiajie
南昌,Nanchang
九江,Jiujiang
上饶,Shangrao
新余,Xinyu
赣州,Ganzhou
宜春,Yichun
抚州,Fuzhou
萍乡,Pingxiang
吉安,Ji'an
鹰潭,Yingtan
景德镇,Jingdezhen
合肥,Hefei
阜阳,Fuyang
亳州,Bozhou
安庆,Anqing
蚌埠,Bengbu
六安,Lu'an
马鞍山,Ma'anshan
宿州,Suzhou
芜湖,Wuhu
铜陵,Tongling
淮北,Huaibei
淮南,Huainan
滁州,Chuzhou
池州,Chizhou
黄山,Huangshan
宣城,Xuancheng
万州,Wanzhou
九龙坡,Jiulongpo
开州,Open state
云阳,Yunyang
渝中,Yuzhong
江北,Jiangbei
垫江,Dianjiang
忠县,Zhong County
两江新区,Liangjiang New Area
渝北,Yubei
长寿,longevity
綦江,Qijiang
石柱,Stone
合川,Aikawa
奉节,Fengjie
巫溪,Wuxi
南岸,South coast
璧山,Bishan
荣昌,Rongchang
巫山,Wushan
大渡口,Dadukou
大足,Dazu
铜梁,Tongliang
潼南,Tongnan
丰都,Fengdu
江津,Jiangjin
高新区,High-tech Zone
涪陵,Fuling
巴南,Banan
永川,Yongchuan
梁平,Liangping
黔江,Qianjiang
沙坪坝,Shapingba
城口,City population
彭水,Pengshui
武隆,Wulong
酉阳,Youyang
秀山,Xiushan
苏州,Suzhou
南京,Nanjing
徐州,Xuzhou
无锡,Wuxi
淮安,Huaian
泰州,Taizhou
南通,Nantong
常州,Changzhou
连云港,Lianyungang
盐城,Yancheng
扬州,Yangzhou
宿迁,Suqian
镇江,Zhenjiang
青岛,Qingdao
临沂,Linyi
济南,Jinan
烟台,Yantai
威海,Weihai
济宁,Jining
德州,Texas
枣庄,Zaozhuang
潍坊,Weifang
淄博,Zibo
泰安,Tai'an
日照,sunshine
聊城,Liaocheng
菏泽,Heze
滨州,Binzhou
成都,Chengdu
南充,Nanchong
广安,Guang'an
绵阳,Mianyang
达州,Florida
内江,Neijiang
巴中,Bazhong
德阳,Deyang
攀枝花,Panzhihua
泸州,Luzhou
甘孜州,Ganzi
自贡,Zigong
宜宾,Yibin
凉山州,Liangshan
广元,Guangyuan
雅安,Ya'an
遂宁,Suining
眉山,Meishan
乐山,Leshan
资阳,Ziyang
阿坝州,Aba
海淀区,Haidian District
朝阳区,Chaoyang District
大兴区,Daxing District
西城区,Xicheng District
外地来京人员,Field Laijingrenyuan
丰台区,Fengtai District
昌平区,Changping District
通州区,Tongzhou District
房山区,'S Fangshan District
石景山区,Shijingshan District
东城区,Dongcheng Area
顺义区,Shunyi District
怀柔区,Huairou District
门头沟区,Mentougou
延庆区,Yanqing District
未明确地区,Not explicitly region
外地来沪人员,Field to Shanghai staff
浦东,Pudong
静安,Jingan
徐汇,Xuhui
闵行,Minhang
宝山,Baoshan
松江,Songjiang
长宁,Changning
奉贤,Fengxian
虹口,Hongkou
杨浦,Yangpu
普陀,Putuo
黄浦,Huangpu
青浦,Qingpu
嘉定,Jiading
金山,Jinshan
崇明,Chongming
未明确地区,Not explicitly region
福州,Fuzhou
莆田,Putian
泉州,Quanzhou
厦门,Xiamen
漳州,Zhangzhou
宁德,Ningde
南平,Nanping
三明,Sanming
龙岩,Longyan
哈尔滨,Harbin
绥化,Suihua
齐齐哈尔,Qiqihar
双鸭山,Shuangyashan
鸡西,Jixi
佳木斯,Jiamusi
大庆,Daqing
牡丹江,Mudanjiang
七台河,Qitaihe
鹤岗,Hegang
大兴安岭,Daxinganling
黑河,Heihe
西安,Xi'an
安康,Good health
汉中,Hanzhong
咸阳,Xianyang
宝鸡,Baoji
渭南,Weinan
铜川,Tongchuan
延安,Yan'an
商洛,Shangluo
榆林,Yulin
韩城,Hancheng
杨凌示范区,Yangling Demonstration Zone
北海,North Sea
南宁,Nanning
桂林,Guilin
柳州,Liuzhou
防城港,Fangchenggang
河池,Hechi
玉林,Yulin
梧州,Wuzhou
贵港,Guigang
钦州,Qinzhou
贺州,Hezhou
百色,Baise
石家庄,Shijiazhuang
沧州,Cangzhou
保定,Baoding
邢台,Xingtai
邯郸,Handan
廊坊,Langfang
唐山,Tangshan
张家口,Zhangjiakou
衡水,Hengshui
承德,Chengde
秦皇岛,Qinhuangdao
昆明,Kunming
西双版纳,Xishuangbanna
玉溪,Yuxi
曲靖,Qujing
昭通,Zhaotong
保山,Baoshan
大理州,Dali Prefecture
丽江,Lijiang
德宏州,Dehong
红河州,Honghe Prefecture
普洱,Pu'er
楚雄州,Chuxiong
临沧,Lincang
文山州,Wenshan
三亚,Sanya
海口,Seaport
万宁,Wanning
儋州,Danzhou
琼海,Qionghai
临高,Lingao
澄迈,Chengmai
陵水,Lingshui
定安,Ting
昌江,Changjiang
东方,East
保亭县,Baoting County
琼中,Qiongzhong
乐东,Ledong
文昌,Wenchang
晋中,Jinzhong
运城,Yuncheng
太原,Taiyuan
大同,Datong
晋城,Jincheng
吕梁,Luliang
长治,Changzhi
朔州,Shuozhou
忻州,Xinzhou
阳泉,Yangquan
临汾,Linfen
沈阳,Shenyang
大连,Dalian
盘锦,Panjin
丹东,Dandong
锦州,Jinzhou
阜新,Fuxin
葫芦岛,Huludao
朝阳,Sunny
本溪,Benxi
铁岭,Tieling
辽阳,Liaoyang
鞍山,Anshan
营口,Yingkou
宝坻区,Baodi
河北区,Hebei District
河东区,Hedong District
和平区,Heping District
外地来津,Field to Tianjin
河西区,Hexi District
宁河区,Ninghe district
南开区,Nankai District
西青区,Xiqing District
东丽区,Dongli District
红桥区,Hongqiao District
滨海新区,Binhai New Area
津南区,Jinnan District
贵阳,Guiyang
毕节,Bijie
遵义,Zunyi
六盘水,Liupanshui
铜仁,Tongren
黔南州,Qiannan
黔东南州,Qiandongnan
安顺,Anshun
黔西南州,Qianxinan
兰州,Lanzhou
天水,Tianshui
陇南,Longnan
定西,Dingxi
张掖,Zhangye
庆阳,Qingyang
甘南,Gannan
白银,silver
金昌,Jinchang
平凉,Pingliang
临夏,Linxia
未明确地区,Not explicitly region
长春,Changchun
四平,Siping
吉林,Jilin
公主岭,Gongzhuling
延边,Yanbian
辽源,Liaoyuan
松原,Matsubara
通化,Tonghua
鄂尔多斯,Erdos
包头,Baotou
呼和浩特,Hohhot
巴彦淖尔,Bayannaoer
呼伦贝尔,Hulunbeier
赤峰,Chifeng
乌兰察布,Wulanchabu
锡林郭勒,Xilin Gol
乌海,Wuhai
兴安盟,Hing'an
通辽,Tongliao
银川,Yinchuan
吴忠,Wuzhong
中卫,Zhongwei
固原,Guyuan
石嘴山,Shizuishan
宁东,Ningdong
乌鲁木齐,Urumqi
伊犁州,Yili
第九师,Ninth division
昌吉,Changji
吐鲁番,Turpan
阿克苏,Aksu
第七师,Seventh Division
石河子,Shihezi
五家渠市,Wujiaqu
西宁,Xining
海北州,Haibei
拉萨,Lhasa